Dataset,Model,Accuracy,Demographic Parity,Equalized Odds,Predictive Parity,Accuracy_CI_Low,Accuracy_CI_High,DP_CI_Low,DP_CI_High,EO_CI_Low,EO_CI_High,PP_CI_Low,PP_CI_High
adult,LogisticRegression,0.8543176513941776,0.0,0.0,0.0,0.8466957376243704,0.8612117675961185,0.0,0.0,0.0,0.0,0.0,0.0
adult,RandomForest,0.856651517012652,0.0,0.0,0.0,0.8490326741186587,0.8634135855546002,0.0,0.0,0.0,0.0,0.0,0.0
adult,DecisionTree,0.8168529664660361,0.0,0.0,0.0,0.8078860090897924,0.8252088195553372,0.0,0.0,0.0,0.0,0.0,0.0
adult,SVM,0.8582483724358186,0.0,0.0,0.0,0.8511024444171478,0.8645129590959342,0.0,0.0,0.0,0.0,0.0,0.0
adult,KNN,0.8361380665765876,0.0,0.0,0.0,0.8288815870286206,0.8442543913524138,0.0,0.0,0.0,0.0,0.0,0.0
adult,GradientBoosting,0.8678295049748188,0.0,0.0,0.0,0.8608248372435819,0.8732741677926544,0.0,0.0,0.0,0.0,0.0,0.0
adult,GaussianNB,0.5225402284731605,0.0,0.0,0.0,0.5128301191499816,0.5358186954919543,0.0,0.0,0.0,0.0,0.0,0.0
compas,LogisticRegression,0.9822616407982262,0.11606732725244434,0.035326086956521736,0.05579399141630903,0.975609756097561,0.9883730598669623,0.11429902012316692,0.75,0.02444817887109077,1.0,0.03162862159789289,1.0
compas,RandomForest,0.9739467849223947,0.1326902465166131,0.05627705627705628,0.07949790794979084,0.9667267184035477,0.9822616407982262,0.12326633281908624,0.75,0.04448440776077197,1.0,0.05148847762499662,1.0
compas,DecisionTree,0.9889135254988913,0.1255714504451298,0.01358695652173913,0.022421524663677084,0.9844789356984479,0.9933481152993349,0.1192532462686503,0.75,0.011254455004455004,1.0,0.01281120331950203,1.0
compas,SVM,0.979490022172949,0.1255277030426319,0.04329004329004329,0.06382978723404253,0.972810421286031,0.9866962305986696,0.11528217476821119,0.75,0.03235633153396311,1.0,0.041646505376344053,1.0
compas,KNN,0.9745011086474501,0.12830019467594111,0.06666666666666665,0.05982905982905984,0.9661723946784923,0.9822616407982262,0.12158158010762142,0.75,0.04165441176470585,1.0,0.042939541712547824,1.0
compas,GradientBoosting,0.991130820399113,0.13288820351291647,0.021645021645021644,0.022222222222222254,0.9866962305986696,0.9950110864745011,0.1211966566226606,0.75,0.012987012987012988,1.0,0.01602131678359413,1.0
compas,GaussianNB,0.9240576496674058,0.3,0.5,0.0717703349282297,0.9101995565410199,0.93404933481153,0.13263237985783,0.8350000000000004,0.12758053490557972,1.0,0.049713603037444355,1.0
german,LogisticRegression,0.724,0.10359582613917873,0.10881801125703561,0.03360418675113619,0.6679,0.7721,0.007592663092329883,0.24064608244449087,0.032925104907863524,0.3452724155241319,0.001575123416622737,0.18215751090512533
german,RandomForest,0.756,0.11230388109000822,0.18,0.016783216783216814,0.6999,0.8041,0.0094865396249244,0.2371990052686212,0.03360633290543429,0.4345286107711139,0.0020962087507440776,0.16462249319055763
german,DecisionTree,0.676,0.00045041663538769594,0.06000000000000005,0.05406690978278106,0.6279,0.732,0.005526960784313818,0.14226490560196645,0.01932181616687955,0.28261074961385524,0.0010275921713300193,0.1920719146810476
german,SVM,0.764,0.09068388259139704,0.09999999999999998,0.01180916391119513,0.7159,0.8081,0.00360613241672641,0.20634556977618146,0.022538154069767415,0.34391545893719816,0.002388526926600901,0.1492355287621873
german,KNN,0.716,0.11815929735004871,0.24,0.024149772903511613,0.664,0.768,0.016376081919053192,0.24883452836554726,0.0771027235159229,0.48736857707509884,0.001655008143146533,0.1479342769669856
german,GradientBoosting,0.752,0.027100067562495278,0.19999999999999996,0.04980842911877392,0.6997,0.808,0.001303284246381284,0.14676359851169393,0.055013876040703034,0.43273737072141905,0.002498527980511456,0.16465914547272145
german,GaussianNB,0.7,0.10194429847609043,0.12,0.011904761904761973,0.632,0.76,0.009967714405838391,0.23991657820331808,0.03621261177921682,0.3235549079551775,0.004048378522062768,0.1525842554304301
